group    diet     adg
Bull       1     1.87
Bull       1     1.60
Bull       1     1.76
Bull       1     2.13
Bull       1     1.81
Bull       1     2.64
Bull       1     1.33
Bull       1     1.80
Steer      1     1.12
Steer      1     3.20
Steer      1     2.72
Steer      1     3.95
Steer      1     2.03
Steer      1     2.29
Steer      1     2.83
Steer      1     2.03
Bull       2     1.49
Bull       2     2.08
Bull       2     2.29
Bull       2     1.55
Bull       2     1.39
Bull       2     1.71
Bull       2     1.98
Bull       2     1.92
Steer      2     2.61
Steer      2     2.67
Steer      2     3.20
Steer      2     2.72
Steer      2     2.40
Steer      2     1.87
Steer      2     2.93
Steer      2     3.52

