package	amt week logcount
1  100  1  2.85
2  100  1  2.21
3  100  1  3.20
4  100  1  3.29
5  100  2  3.81
6  100  2  3.45
7  100  2  3.20
8  100  2  3.60
9  100  3  4.46
10 100  3  4.47
11 100  3  4.15
12 100  3  5.14
13 100  4  5.60
14 100  4  5.33
15 100  4  5.94
16 100  4  5.50
17 400  1  1.93
18 400  1  2.82
19 400  1  2.93
20 400  1  2.80
21 400  2  2.51
22 400  2  3.05
23 400  2  3.66
24 400  2  2.63
25 400  3  2.99
26 400  3  3.01
27 400  3  3.50
28 400  3  3.55
29 400  4  3.44
30 400  4  3.50
31 400  4  3.25
32 400  4  3.15
